check stuff level | https://cs.brown.edu/courses/csci1380/sandbox/1 0.40235947810852507 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.35765286942980007
knowledg histori librari | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
knowledg histori | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
knowledg | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.06486155191532524
languag rough draft | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
languag rough | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
languag | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
largest librari term | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
largest librari | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
largest | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
librari congress add | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
librari congress washington | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
librari congress | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.06486155191532524
librari serv resourc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
librari serv | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
librari term book | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
librari term | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
librari treasur trove | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
librari treasur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
librari | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.1621538797883131
materi languag rough | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
materi languag | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
mile bookshelv collect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
mile bookshelv | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
natur repositori human | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
natur repositori | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
natur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.06569134336465715 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.022668139611747892
perfect vellum copi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
perfect vellum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
perfect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
print materi languag | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
print materi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
print | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
public worldwid right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
public worldwid | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
public | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
record librari treasur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
record librari | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
record | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
repositori human knowledg | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
repositori human | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
repositori | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
research scholar public | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
research scholar | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
research | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
resourc congress govern | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
resourc congress | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
resourc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
rich histori fascin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
rich histori | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
rich | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
rough draft declar | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
rough draft | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
rough | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
scholar public worldwid | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
scholar public | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
scholar | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
serv resourc congress | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
serv resourc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
serv | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
shelf space establish | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
shelf space | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
shelf | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
space establish institut | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
space establish | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
term book shelf | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
term book | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
term | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
treasur trove global | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
treasur trove | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
treasur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
trove global knowledg | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
trove global | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
trove | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
unit largest librari | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
unit largest | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
vellum copi exist | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
vellum copi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
vellum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
washington feder cultur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
washington feder | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
washington | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
worldwid right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
worldwid | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
bacteria jelli fungi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
bacteria jelli | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
bacteria | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
beach caus bioluminesc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
beach caus | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
beach | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
beauti bioluminesc enchant | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
beauti bioluminesc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
beauti | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
biologi beauti bioluminesc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
biologi beauti | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
biologi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
bioluminesc blue green | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
bioluminesc blue | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
bioluminesc creat magic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
bioluminesc creat | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
bioluminesc enchant mysteri | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
bioluminesc enchant | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
bioluminesc fascin varieti | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
bioluminesc fascin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
bioluminesc light vari | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
bioluminesc light | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
bioluminesc phytoplankton water | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
bioluminesc phytoplankton | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
bioluminesc product emiss | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
bioluminesc product | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
bioluminesc understood captiv | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
bioluminesc understood | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
bioluminesc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.18796613004033028
blend biologi beauti | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
blend biologi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
blend | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
blue green wavelength | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
blue green | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
call luciferas color | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
call luciferas | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
call luciferin enzym | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
call luciferin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
call | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.04699153251008257
captiv subject scientif | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
captiv subject | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
captiv | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
caus bioluminesc phytoplankton | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
caus bioluminesc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
caus | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
chemic reaction involv | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
chemic reaction | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
chemic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
color bioluminesc light | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
color bioluminesc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
creat chemic reaction | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
creat chemic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
creat magic scene | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
creat magic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
creatur fish bacteria | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
creatur fish | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
creatur lure prei | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
creatur lure | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
creatur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.04699153251008257
dark ocean depth | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
dark ocean | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
dark | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
deep sea creatur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
deep sea | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
deep | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
depth firefli hand | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
depth firefli | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
depth | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
displai firefli warm | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
displai firefli | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
displai | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
emiss light live | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
emiss light | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
emiss | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
emit molecul call | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
emit molecul | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
emit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
enchant mysteri natur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
enchant mysteri | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
enchant natur phenomena | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
enchant natur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
enchant | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.04699153251008257
enzym call luciferas | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
enzym call | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
enzym | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
farthest water visual | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
farthest water | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
farthest | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
fascin enchant natur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
fascin enchant | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
fascin varieti purpos | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
fascin varieti | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
firefli bioluminesc fascin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
firefli bioluminesc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
firefli hand light | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
firefli hand | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
firefli warm summer | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
firefli warm | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
firefli | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.07048729876512386
fish bacteria jelli | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
fish bacteria | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
fish | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
fungi insect firefli | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
fungi insect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
fungi speci reason | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
fungi speci | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
fungi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.04699153251008257
glow wave beach | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
glow wave | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
glow | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
green wavelength travel | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
green wavelength | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
green | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
hand light mate | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
hand light | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
insect firefli bioluminesc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
insect firefli | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
insect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
involv light emit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
involv light | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
involv | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
jelli fungi insect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
jelli fungi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
jelli | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
light creat chemic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
light creat | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
light displai firefli | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
light displai | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
light emit molecul | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
light emit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
light live organ | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
light live | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
light mate signal | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
light mate | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
light vari marin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
light vari | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
light | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.14097459753024771
live organ marin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
live organ | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
live | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
luciferas color bioluminesc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
luciferas color | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
luciferas | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
luciferin enzym call | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
luciferin enzym | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
luciferin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
lure prei mate | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
lure prei | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
lure | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
magic scene natur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
magic scene | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
magic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
marin bioluminesc blue | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
marin bioluminesc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
marin creatur fish | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
marin creatur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
marin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.04699153251008257
mate dark ocean | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
mate dark | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
mate signal fungi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
mate signal | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
mate | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.04699153251008257
mesmer light displai | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
mesmer light | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
mesmer | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
molecul call luciferin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
molecul call | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.023495766255041284
